NAME	fibroblast	erythrocyte	professional antigen presenting cell	endothelial cell
Cercam	84.3541565881853	1	1	1
Ces1d	835.927984472666	1	1	1
Ces2g	88.6568825775137	1	1	1
Cfb	380.634503850552	1	1	1
Cfh	696.981055754368	1	68.3527581595876	1
Cfp	1	1	380.915550889758	1
Cgnl1	1	1	1	70.5815507695689
Chka	1	1	84.602551404444	1
Chpf	159.293352101366	1	1	1
Chrdl1	173.032154049243	1	1	1
Chst14	80.2988745223187	1	1	1
Chst15	1	1	1	71.2754255412067
Chst2	1	1	1	111.356714659164
Ciao1	79.9978178284806	1	1	1
Ciita	1	1	111.399245720365	1
Ckmt1	138.338930839727	1	1	1
Cks1b	1	1	60.5798444015167	1
Cldn1	1	1	94.1470679730759	1
Cldn10	82.2571783350935	1	1	1
Cldn15	1	1	1	217.175068189397
Cldn5	1	1	1	1197.28798471637
Clec10a	1	1	201.419692933627	1
Clec11a	177.1660717621	1	1	1
Clec12a	1	1	180.377776631062	1
Clec14a	1	1	1	386.375234485436
Clec1a	1	1	1	316.353483116977
Clec3b	584.407036428671	1	1	1
Clec4a3	1	1	82.8537641964137	1
Clec7a	1	1	206.39891451752	1
Clic5	1	1	1	185.514919934676
Clip3	100.677831757605	1	1	1
Clip4	73.2881539423653	1	1	1
Cln5	1	1	51.7722307782531	1
Cmpk2	1	1	1	209.501079996711
Cmtm7	69.8435055634803	1	229.380491011218	1
Cmtm8	1	1	1	155.21960367069
Cnn3	669.479249335194	1	1	1059.56202823886
Cno	1	1	1	56.2472769994414
Cnp	111.344722045538	1	253.140785063337	1
Col13a1	1	1	1	49.3212073629435
Col14a1	535.030325539949	1	1	1
Col16a1	79.3789869665077	1	1	1
Col18a1	88.0515894342636	1	1	1
Col1a1	1341.747809367	1	1	1
Col1a2	2528.66782468719	1	1	1
Col3a1	3248.19858704579	1	1	1
Col4a1	171.671895396577	1	1	544.004948342633
Col4a2	148.094081618308	1	1	445.694968555111
Col4a5	78.1522485139704	1	1	1
Col4a6	62.3940332866693	1	1	1
Col5a1	148.457551713136	1	1	1
Col5a2	232.736352918437	1	1	1
Col6a1	832.439525488652	1	1	1
Col6a2	797.883118612465	1	1	1
Col6a3	187.959869904718	1	1	1
Col8a1	122.45229637307	1	1	1
Colec12	396.98644528333	1	1	1
Coro1a	1	1	1515.1436038647	1
Coro7	1	1	115.786719823328	1
Cotl1	53.3132004620664	1	236.331906163679	1
Cp	259.77248954009	1	1	1
Cpe	900.70245375519	1	1	293.629756184053
Cpsf3l	1	1	76.9708361392186	1
Cpxm1	202.900365771737	1	1	1
Cpxm2	148.689513232179	1	1	1
Crip2	762.592943755437	1	63.3056016704319	1527.29707104651
Crispld1	1	1	1	86.0637484091227
Crispld2	200.639716678117	1	1	1
Crlf3	1	1	144.041401953897	1
Cryab	102.279682297254	1	1	1
Csf1r	1	1	433.229633832275	1
Csf2ra	1	1	105.338931666463	1
Csf2rb	1	1	289.073423836042	1
Csf2rb2	1	1	62.9756408325313	1
Csrp2	364.828538567106	1	35.6928609799151	1
Ctgf	150.92386887547	1	1	1
Ctla2a	1	1	77.8551866683916	537.133915641229
Ctla2b	1	1	1	105.772840758195
Ctnnbip1	1	1	1	104.592395401097
Ctnnbl1	1	1	129.755005814553	1
Ctnnd1	57.1056196475735	1	1	153.925378551354
Ctsc	86.8400283878992	1	686.198753394331	1
Ctsf	151.805157533614	1	1	1
Ctsk	109.352725499028	1	1	1
Ctss	1	1	1298.70357286094	1
Cxcl12	528.625963055099	1	1	809.837557914065
Cxcl16	91.3604777994219	1	661.23181938506	1
Cxcr7	381.281784119918	1	1	157.468171600118
Cxxc5	67.9228188089588	1	1	1
Cybasc3	59.9782813471392	1	333.54427097795	1
Cybb	1	1	254.300708187795	1
Cyfip2	1	1	97.3307071348497	1
Cygb	208.288481090278	1	1	1
Cyhr1	88.8241162750947	1	1	1
Cyp1b1	150.053221131831	1	1	1
Cyp2d22	21.6013233466614	1	1	197.926428050226
Cyp2f2	7739.47693504381	1	1	1
Cyp4b1	199.866775835941	1	1	924.547673188968
Cyp4v3	1	1	68.3304075547197	1
Cyp51	1	1	70.6087206614861	1
Cyr61	276.761167764803	1	1	325.602496356259
Cysltr1	1	1	100.342607139503	1
Cyth4	1	1	162.22895637787	1
Cytip	1	1	247.847659931411	1
Cytl1	1	1	1	1766.66048981385
Cyyr1	1	1	1	118.771853275829
D14Ertd668e	54.4131193913933	1	1	229.441434178967
D730005E14Rik	1	1	77.9649398549964	1
Dab2ip	1	1	1	106.172094656895
Dag1	93.4514405076449	1	1	1
Dapk2	1	1	1	102.219539706282
Dapp1	1	1	145.783710465049	1
Dbn1	68.5504211412872	1	1	1
Dcaf12	90.7772554247	296.612423636261	73.9691670739656	1
Dclk1	126.047048452729	1	1	1
Dcn	9302.38438445007	204.206200658713	174.29627052771	1
Ddr2	449.340965195498	1	1	1
Ddx41	1	1	1	89.5999582874764
Ddx49	1	1	51.8861826755267	1
Ddx54	1	1	118.319071733589	1
Dennd3	1	1	1	100.376746254347
Dennd5b	1	1	1	98.312805059398
Des	199.076472501795	1	1	1
Dgcr2	68.7499516021718	1	1	1
Dgkd	1	1	58.5987178418717	1
Dhx16	1	1	59.4911191570248	1
Dkk2	1	1	1	129.539525758182
Dkk3	347.752938387442	1	42.057387206112	1
Dlc1	123.439053119116	1	1	284.59206177723
Dll4	1	1	1	173.271663364168
Dnajb4	80.9144132270752	1	1	1
Dnajc9	1	1	154.892682273427	1
Dnase1l1	71.6980008822074	1	1	1
Dnase1l3	1	1	245.890979813312	1
Dock10	1	1	162.94058126382	1
Dock2	1	1	76.967698601897	1
Dock7	75.7249105913966	1	1	1
Dock8	1	1	58.5027433807264	1
Dock9	1	1	1	119.991397863225
Dok1	1	1	65.9056610477312	1
Dok2	1	1	68.2616168592128	1
Dok4	1	1	1	112.930742516132
Dpep1	475.980108289438	1	1	1
Dpp7	95.1984655949544	1	1	1
Dpp8	1	1	1	64.5501096704894
Dpt	1794.34549555765	1	1	1
Dpysl3	233.767278051526	1	1	1
Dtd1	1	1	1	55.0454912103338
Dusp2	1	1	170.427958092043	1
Dusp23	1	1	1	34.790030110281
Dusp3	103.434516948443	1	1	765.769229071292
Dusp6	113.092415712435	1	1	254.434359025482
Dym	1	1	71.7083809803437	1
Dysf	1	1	1	90.5786458736725
ERCC.00002	5926.94255180308	54409.1536739955	10911.6564058811	11232.8180349605
ERCC.00003	265.762024832498	2445.09175587317	874.05284295646	463.084177405127
ERCC.00004	774.74922431701	7936.93256840131	1180.80921719853	1678.08046153363
ERCC.00009	326.55127141507	6234.45979392341	2211.77594163203	844.142175993865
ERCC.00022	62.8147573068309	603.364724892719	77.4661208672959	157.844503795756
ERCC.00042	230.967266481713	1556.71394931004	156.167269145707	313.5165045824
ERCC.00043	146.122245862521	1470.59736001974	149.345096817196	164.310975549988
ERCC.00044	1	572.952646395711	238.939977765087	135.505830846628
ERCC.00046	525.226282310522	6740.14908416738	1137.46438047859	1651.31041325483
ERCC.00060	39.9222376201241	291.536998226838	45.0970046728202	59.9584773512955
ERCC.00071	1	260.419403334886	109.982582565344	1
ERCC.00074	2997.03607252226	36954.2073504978	6329.74350985249	8130.0551757437
ERCC.00076	133.750777485065	842.243874375168	292.915620817014	114.096415605516
ERCC.00092	101.849064188118	1173.545067164	156.412306749788	635.839861732918
ERCC.00095	15.8652573798813	299.997277548593	55.7389764356123	83.9014514604073
ERCC.00096	7456.18372067019	73414.8184558375	15704.4668040356	17648.5235200666
ERCC.00108	976.807782478268	6668.95411066708	1551.64061628059	1410.25142588554
ERCC.00111	286.956472032109	2253.99185139787	655.207879441786	267.976660174219
ERCC.00112	1	669.648904806322	1	1
ERCC.00113	1622.93413947164	18224.1222300082	2781.99578169965	3051.85832227272
ERCC.00116	72.2127802749283	767.375824336171	1	275.675268254095
ERCC.00130	5829.67729616757	50375.7021586358	11523.4853807278	10882.5011127635
ERCC.00131	1	590.336670038654	1	100.957484931655
ERCC.00136	965.796583391102	6221.57428661118	1960.22543089717	1165.32955738748
ERCC.00145	131.527411464243	2157.03473751752	394.937267682079	404.336653385848
ERCC.00165	1	400.133698201442	1	1
ERCC.00171	578.347622069035	5202.76078231664	925.044847894177	1155.9285066873
Ebf2	69.4429667845481	1	1	1
Ebi3	1	1	93.4976548060637	1
Ecm1	879.543915046535	1	1	120.541847214464
Ecm2	183.291095501373	1	1	1
Ecscr	1	1	1	365.781945159914
Ednra	61.4653321412652	1	1	1
Ednrb	1	1	1	828.238492478043
Efcab4a	1	1	1	191.964176377274
Efemp1	503.79608876907	1	1	1
Efemp2	324.932746464251	1	1	1
Efhd2	74.3129681740195	1	392.47880649243	1
Efna1	1	1	1	393.981302422187
Efnb1	1	1	1	140.932053329976
Efnb2	1	1	1	209.443621923077
Efr3b	1	1	1	52.0447166024043
Egfl7	1	1	1	975.920035683091
Egfr	121.019016234593	1	1	1
Ehd2	276.676279590881	1	1	537.465180137008
Ehd3	1	1	1	2303.43560477522
Ehd4	1	1	125.713640882641	499.182648994459
Eif2ak2	1	1	1	65.18703853934
Eif2b2	1	1	92.9159936830559	1
Elk3	1	1	1	181.359307821402
Eln	361.703032718441	1	1	1
Elp2	1	1	132.613037979	1
Eltd1	1	1	1	653.337696648662
Emb	264.484259529175	1	1	1
Emcn	1	1	1	2847.6815260272
Emilin2	182.836126689571	1	1	1
Emp2	185.802295198525	1	1	1
Emr1	1	1	151.415477943698	1
Eng	83.657084944666	1	1	1752.14888865908
Eno3	1	1	180.585059531753	1
Enpp2	1202.94394833321	1	1	1
Enpp4	1	1	1	172.150854797702
Entpd1	1	1	82.6659179342402	301.374150149483
Entpd2	326.917036431899	1	1	1
Epas1	450.458274168141	1	1	483.935267997015
Epb4.1	1	882.328629140134	1	91.0185657950265
Epdr1	126.39346789165	1	1	1
Ephb4	1	1	1	98.966787553776
Epn2	1	1	1	218.757842155633
Epsti1	1	1	706.711344646275	1
Erg	1	1	1	83.2788267124568
Ero1lb	1	1	84.2589828869646	1
Errfi1	403.394335043602	1	1	1
Esam	1	1	1	2215.11420405435
Esm1	1	1	1	1012.16174347052
Etl4	37.0010847011805	1	1	155.14502790221
Ets2	63.0951510516559	1	1	233.530250577923
Etv3	1	1	100.503476438384	1
Etv6	1	1	135.566752340902	1
Evi2a	1	1	182.992225906474	1
Evi2b	1	1	185.677544186451	1
Exoc6b	72.349060805384	1	1	1
Ext1	73.0149340433669	1	1	1
Eya2	101.354972862219	1	1	1
F2r	69.5113221559278	1	1	289.498627869704
F3	1361.16002226813	1	1	1
F8	1	1	1	154.451400716756
Fabp4	1	782.599976305738	1	6629.21700000789
Fads3	266.296909105985	1	1	1
Fam101b	39.0863509882772	1	1	488.533526174665
Fam102b	74.955892371677	1	1	1
Fam105a	1	1	186.618360065518	1
Fam114a1	130.977908579337	1	1	1
Fam117b	1	1	1	208.829980470778
Fam164a	84.5664180109416	1	1	1
Fam167b	1	1	1	479.429904421967
Fam171a1	35.6148700903748	1	1	171.920088192665
Fam174b	1	1	1	86.6823086037505
Fam188a	1	1	1	104.765908657361
Fam38a	1	1	64.9225922408192	1
Fam38b	1	1	1	63.3816942581352
Fam40b	1	1	107.74460001648	1
Fam43a	1	1	1	134.714143228439
Fam46c	1	970.464090686668	52.7526158033455	1
Fam49a	1	1	234.00229218022	1
Fam49b	1	1	221.025500388973	1
Fam60a	1	1	58.3503740413565	1
Fam65a	1	1	1	85.0070235992709
Fam69a	1	1	63.0883873647702	1
Fam70b	1	1	1	174.923310076166
Fap	88.1613960088265	1	1	1
Farsa	1	1	84.989887635797	1
Fas	1	1	82.0658020863998	254.002755579644
Fat1	117.124758987114	1	1	1
Fbln1	1362.22889027113	1	1	1
Fbln2	781.483565591771	1	1	232.263323091869
Fbln5	581.015977615809	1	1	409.997840723013
Fbln7	89.4337357259574	1	1	1
Fbn1	1275.20184542321	1	1	1
Fbxl3	76.4061698217675	1	1	1
Fbxo3	97.8840140068193	1	1	1
Fcer1g	1	1	549.175417375685	70.9030852892219
Fcgr2b	1	1	293.484547307989	1
Fcgr3	1	1	151.975912328576	1
Fcrla	1	1	64.6857656026229	1
Fdps	1	1	77.8614649218034	1
Fech	92.3396778305034	1871.96514084473	1	1
Fen1	1	1	74.033466009172	1
Fermt2	101.341652764444	1	1	196.628559558022
Fermt3	1	1	260.408690794795	1
Fes	1	1	78.5516403173752	1
Fez2	84.218138189965	1	1	372.978534546926
Fgd2	1	1	180.114787767527	1
Fgd5	1	1	1	151.767379670343
Fgfr2	78.0685525873676	1	1	1
Fhl1	617.524682763278	1	1	153.624354183467
Fibin	92.5607782016823	1	1	1
Figf	136.915566868842	1	1	1
Filip1	1	1	1	45.375315125494
Fkbp10	138.336394610674	1	1	1
Fli1	1	1	61.5099174119281	250.691020716824
Flna	450.050153284006	1	162.602486898962	1
Flot2	149.599961470041	1	1	1
Flrt2	262.019206595005	1	1	1
Flt1	1	1	1	1566.39389932894
Flt3	1	1	230.507819550071	1
Flt4	1	1	1	127.911259997756
Fmnl3	1	1	1	78.0746625211076
Fmo1	100.202958070059	1	1	404.739814519654
Fmo2	371.943057601043	1	1	81.6830295917903
Fmod	894.487709544688	1	1	1
Fn1	1713.3396078113	1	1	1
Fnbp1	1	1	188.969216981564	1
Fndc1	392.131790749819	1	1	1
Fndc3b	113.767475246566	1	1	1
Foxp2	68.850770265474	1	1	1
Frmd6	83.1979010695442	1	1	1
Fry	1	1	1	91.8129072687651
Fscn1	1	1	543.732843939198	65.7213171253627
Fst	120.072365910423	1	1	1
Fstl1	1279.18257929689	1	1	186.343279404772
Fuca2	1	1	78.7584052458997	1
Fxyd1	125.430178859775	1	1	1
Fxyd3	105.474593101318	1	1	1
Fxyd6	154.238464525931	1	1	1
Fyb	1	1	90.9732340991158	1
Fzd1	76.0751474826239	1	1	1
Fzd4	49.261241110184	1	1	194.242227207323
Fzr1	1	1	74.1450499493755	1
G0s2	110.258954907374	1	1	1
Gabra3	120.814699723041	1	1	1
Gadd45b	1	1	110.166695306879	1
Galnt2	107.391413914221	1	1	1
Galntl1	72.0090988879566	1	1	1
Gart	1	1	66.8957514928593	1
Gas1	656.273713868435	1	1	1
Gas6	373.224125126765	1	1	381.422682874715
Gata2	1	1	1	146.87309514595
Gata6	74.6801373723028	1	1	1
Gatm	1	1	147.448082352885	1
Gbp3	1	1	54.6126269708448	280.734345899562
Gbp7	35.3301837759168	1	1	370.499564255053
Gbp8	1	1	71.0391249123534	1
Gcc2	1	1	1	50.3217497615958
Gcg	1	34.0865623437845	1	1
Gclc	114.594482669076	1	1	1
Gclm	89.3144051534263	86.1972622541161	1	1
Gdf10	460.873522320483	1	1	1
Gem	137.726843692779	1	1	1
Gfpt2	372.8918825335	1	1	1
Ggcx	88.3627281993458	1	1	1
Ggta1	1	1	1	101.73250970935
Gimap1	1	1	83.8820573715944	328.887604406686
Gimap3	1	1	83.9626652263774	1
Gimap4	1	1	81.890934071568	730.374405938728
Gimap5	1	1	1	272.410010560679
Gimap6	1	1	110.02732191266	1333.53970259621
Gimap8	1	1	1	77.6826340265617
Gimap9	1	1	1	68.4689415324406
Git1	1	1	1	56.5159416547546
Glcci1	1	1	96.9786223717561	1
Glipr1	1	1	121.995135133201	1
Glrx	1	1	64.6968005799876	1
Glt25d2	1	1	1	73.4873283661692
Glt8d1	87.336707442815	1	1	1
Gm11428	1	1	122.060945619254	1
Gm13157	1	1	64.7770632678883	1
Gm16039	1	1	52.7171562577687	1
Gm2a	177.280646094821	1	1707.08721883082	78.4427116978367
Gm4902	1	1	292.220714006726	1
Gm4980	101.939540782969	1	1	1
Gm9766	1	1	1	79.9146214362389
Gmfg	1	1	76.771651936017	1
Gna11	159.522462862678	1	1	496.680624824441
Gng10	58.0931128329604	1	259.70373283327	1
Gng11	44.2017139532071	1	1	539.682026498464
Gng2	1	1	60.0280448986525	1
Gngt2	1	1	21.2448644378843	149.359021879763
Gnpda1	1	1	126.187022103893	1
Gnpda2	1	1	1	96.754056656808
Gnptg	83.2569539483581	1	1	1
Golph3l	1	1	90.3748221213484	1
Gopc	1	1	1	65.396764024635
Got1	1	1	69.9532476470216	1
Gpaa1	111.11251092826	1	1	1
Gpc3	349.0620177481	1	1	1
Gpc6	100.445581915409	1	1	1
Gpihbp1	1	1	1	2317.73505640074
Gpm6b	119.771545670829	1	1	1
Gpr116	1	1	1	842.169905839348
Gpr133	185.05823290726	1	1	1
Gpr137b	1	1	80.3422240477095	1
Gpr137b.ps	1	1	78.8097588159019	1
Gpr146	1	1	1	143.611127317651
Gpr171	1	1	132.294722454199	1
Gpr180	65.4962355033021	1	1	1
Gpr182	1	1	1	151.116867422642
Gpr183	1	1	194.282854714243	1
Gpr4	1	1	1	230.385100271541
Gpr56	1	1	1	265.237657777816
Gprc5a	130.252505952672	1	1	1
Gpx3	1269.36980488389	1	1	1
Gpx7	131.272530085627	1	1	1
Gpx8	259.025372541049	1	1	1
Grap	1	1	165.120532200772	299.133657316509
Grasp	1	1	1	73.888006974869
Grrp1	1	1	1	140.597467589368
Gsn	20718.8691505032	341.393565121263	450.291893964676	62.8599678713566
Gsta3	132.647200628087	1	1	1
Gsta4	217.015548346357	1	1	1
Gstm2	534.766372964112	1	1	1
Gstm5	99.4499610930358	1	1	1
Gstt1	207.786398812392	1	1	1
Gstt2	1	1	1	79.218046458961
