NAME	monocyte	T cell	hematopoietic stem cell	granulocyte	erythrocyte	B cell	macrophage	Fraction A pre-pro B cell
Apeh	1	1	29.2598183506248	1	1	1	1	1
Apex1	1	47.7843413764004	52.8870802249281	1	1	78.552952367877	36.68278334128	1
Aph1c	33.9312254735594	1	1	1	1	1	1	1
Apitd1	1	1	47.2365090966344	1	1	121.718573358775	1	1
Aplp2	95.7151042842251	1	43.6426618244482	1	1	33.239245396124	1	46.3858489894141
Apobec1	121.087178373914	1	1	1	1	88.2708901954622	1	101.700987303355
Apobr	55.2996729454728	1	1	76.0005719385533	1	1	1	1
Apoc2	333.998296010244	1	1	1	1	1	1	1
Apoe	1992.82654276471	1	131.548255595615	1	164.437533782606	122.350513435145	60.8392521592295	1
Apol11b	1	1	1	1	499.426296757316	1	1	1
Apold1	1	1	1	1	1	1	1	53.3596014274875
App	98.5688798955268	1	58.3337860687394	80.1725783285321	1	1	1	1
Aqp1	1	1	166.504585869635	1	1	1	1	1
Aqr	32.1348535735762	62.2487613551841	25.6520749572707	1	1	34.7005983354086	47.9662595723909	1
Arap1	37.7544122246342	1	1	1	1	1	1	1
Arap2	1	78.8954042420021	1	1	1	46.1405618411251	1	1
Arap3	1	1	1	36.6714786317118	1	1	1	1
Arfgap1	1	1	20.6177065504454	1	1	1	1	1
Arfgef1	38.3920450378418	49.0362840105671	41.28993899334	106.196079751771	1	31.9228242371374	48.5626876695375	1
Arhgap1	1	1	22.2906526068749	1	1	1	1	55.5928827348216
Arhgap11a	1	1	51.8327398869442	1	1	72.1907535852399	1	1
Arhgap17	67.162830195313	1	33.2608695213741	1	1	63.1777872962139	178.450854644761	1
Arhgap18	1	1	1	1	1	1	1	65.5838438774844
Arhgap19	1	1	35.1782699520055	1	1	34.2181767461185	1	1
Arhgap26	73.2991989975028	1	1	1	1	1	1	1
Arhgap27	1	1	1	1	1	1	51.3681726178973	1
Arhgap31	47.5459058299394	1	23.4976145290012	1	1	1	1	1
Arhgap4	1	52.6948567742475	23.0895251715171	44.3657132842467	1	1	1	55.9454373034853
Arhgap5	1	1	1	1	1	1	91.34347246676	1
Arhgef18	1	51.6779987937382	1	1	1	1	1	1
Arhgef3	49.1961029511938	44.7490050183135	1	1	1	1	1	45.5919888254267
Arid1b	1	1	1	1	1	51.6935218738032	1	57.097825381688
Arid3b	1	1	1	1	1	1	38.974640993026	1
Arid5a	1	44.7258992739485	1	1	1	47.8645502326459	40.5201666396535	73.0517409518352
Arid5b	34.947163823088	37.3391341295304	1	1	1	1	1	1
Arih2	1	1	22.0542163282192	1	1	1	1	1
Arl11	67.1536885925753	1	35.9175140854866	41.4170011235835	1	1	1	54.8064979234292
Arl2	1	1	27.4015245210258	1	1	1	1	52.5652396106856
Arl4a	1	35.7934696811014	74.569024005471	1	111.935373786607	46.3526644001315	75.9602590433053	47.7441475724834
Arl4c	91.8255046283175	409.307952775579	1	1	1	48.4143654093391	1	114.872932512971
Arl5a	1	1	1	1	1	74.3022449741425	1	63.2819129415971
Arl5c	143.332674015961	87.83654826068	26.2478239113263	1	1	402.557710312535	142.896237781002	820.861097567253
Arl8a	34.9606668319464	1	1	1	1	1	1	1
Armc7	1	53.6342036045627	1	1	1	1	1	1
Armc8	1	1	26.6641986492753	46.4318375532122	1	1	1	45.8514147676723
Arntl	1	1	1	1	1	142.037761431568	1	230.111454741101
Arpp21	1	1	1	1	1	1	1	377.555237399248
Arrb1	1	1	26.876491507118	1	40.844018316731	1	1	1
Arrb2	63.3239528876132	54.102401401017	100.417447533015	274.326199547382	1	1	38.1557237086919	1
Arrdc3	36.3984663614501	1	1	1	1	1	1	1
Arrdc4	47.08525553454	1	1	1	1	1	1	1
Arsb	1	1	50.0287741418415	1	1	1	1	1
Art4	1	1	1	1	1	1	1	55.4160561783152
As3mt	1	1	1	1	1	28.7689835434805	56.0778101602998	39.7038855765813
Asah1	232.283801587169	1	56.4836136509691	36.8739207337449	1	1	204.147006012694	47.428823532751
Asb1	1	1	1	1	57.9406467982594	1	1	1
Asb2	1	1	1	1	1	1	1	55.4188081553718
Asf1a	1	1	62.2207078268897	1	1	103.048565347525	45.4179677750307	200.829447190844
Asf1b	1	1	115.369480419547	1	1	212.148191643574	1	1
Asl	1	1	1	1	1	1	1	75.8334486661124
Asns	1	1	25.9140623352067	1	1	1	1	1
Asph	1	1	1	1	1	1	67.1978468588629	1
Aspm	1	1	53.0562539732832	1	1	112.889116976315	1	1
Asrgl1	1	54.9091759236896	35.2769283558934	1	1	63.146555479805	1	1
Asxl1	1	1	1	1	1	31.6059223691666	1	1
Asxl2	32.1285440019221	69.7266437573136	29.4620676805279	1	1	54.2599717699681	81.8533862840896	1
Atad2	1	1	99.7340259572214	1	1	134.307460029065	1	1
Atad5	1	1	45.8822264112841	1	1	69.3657054393219	1	1
Atf3	182.038048173108	1	1	1	1	1	1	1
Atg16l2	1	1	1	1	1	1	1	47.6921881938714
Atg2a	50.2385845776559	1	1	43.441659357438	1	1	1	1
Atg4a	1	1	1	1	114.234642568653	1	1	1
Atg4b	1	1	28.9413798829877	1	1	1	1	1
Atg4c	40.5483173776648	1	1	1	1	1	1	1
Atg7	38.2922496828804	1	1	44.6512189281647	1	1	1	1
Atl2	1	1	1	1	1	36.0603033206835	1	1
Atp11b	32.6936829304707	51.2837233980743	44.834630449827	51.5055531145372	1	34.0570420067689	1	1
Atp1a3	70.8149284715642	1	1	1	1	1	1	1
Atp1b1	1	64.0664147552227	1	1	1	274.927678968538	533.140463270737	463.746051230985
Atp2a1	1	1	1	1	1	1	180.665383149065	1
Atp2b4	1	1	38.114004660297	1	1	1	37.8049039505507	1
Atp2c1	38.9831949643287	1	26.7008498220635	64.864096283606	1	1	1	1
Atp6v1h	1	1	1	1	1	1	1	45.7594548706501
Atp8b4	50.6453350892567	37.7567153157631	61.4497592882465	60.255165002598	1	1	1	1
Atpaf2	1	1	22.4368665739614	1	1	51.950108106117	1	1
Atxn7	1	1	1	1	1	1	57.6632681689863	1
Auh	31.3479697382855	1	25.3285134766619	1	48.9592768753768	1	42.134151032073	1
Aurka	1	1	60.8659443611297	1	1	103.69213805105	1	1
Aurkb	1	1	75.6958030079759	1	1	138.966768814847	1	1
Azin1	43.5201083642833	1	113.800437661304	64.5498010229356	174.648868310941	130.227628262215	57.5729030258408	67.6102843530038
B230118H07Rik	1	1	30.2520007755603	1	1	1	1	1
B230120H23Rik	1	1	26.9178153628411	1	1	1	1	1
B230206F22Rik	1	1	1	1	1	33.9652473256693	75.3697932255377	40.7116865848888
B230208H11Rik	1	1	33.2726364771521	157.406442425046	1	1	1	1
B230312A22Rik	1	1	1	1	114.916072717394	1	1	1
B3gat3	1	47.7164889140568	23.8678877963448	1	1	1	43.4583010505201	1
B3gnt5	1	1	1	1	1	30.979877920019	1	1
B430306N03Rik	1	1	1	64.6633606575686	1	1	1	1
B4galnt1	68.6166438679638	291.628745214724	87.2675910908188	1	1	42.1469764836614	121.3813088652	1
B4galt3	1	1	22.6882306599761	1	1	1	36.3292368228494	1
B4galt6	1	1	29.7737299862166	1	1	1	1	1
B630005N14Rik	34.2775982048852	1	1	1	1	1	42.4107422108487	1
BC005561	1	1	1	1	1	1	1	45.9889709856978
BC013529	1	1	25.156490302161	1	1	1	49.0056497330411	84.849909276453
BC016423	1	36.4052651456486	1	1	1	1	42.5336912890967	1
BC021614	1	41.7999829717445	1	1	1	1	1	1
BC028528	67.4022236088917	1	1	1	1	1	1	39.959551901517
BC029722	1	1	1	1	1	1	36.3284804746094	68.265884832637
BC037034	1	1	33.6658539988908	40.5734374887718	1	1	1	1
BC048355	1	1	22.5523035010192	1	1	1	1	1
BC051226	38.4106925734716	1	1	1	1	1	1	1
BC064078	1	1	1	1	1	1	1	44.7832155957494
BC147527	70.3704727131218	1	1	1	1	1	193.693342358641	1
Bach1	106.989819138532	1	24.3813770117794	1	1	1	1	78.4432181986423
Bach2	1	1	1	1	1	262.104335088829	1	119.053427320729
Bank1	1	1	1	1	1	61.7462935382896	1	1
Banp	1	1	1	1	1	32.6350974997145	1	1
Bard1	1	1	1	1	1	38.3884626373063	1	1
Batf	48.9235161685482	32.9998565129015	19.8818943437311	1	1	1	1	1
Bbc3	35.9588939132313	1	1	1	1	1	1	1
Bcap29	1	71.4112841967478	43.9627474036873	1	1	24.3289162845709	39.1707685532143	1
Bcat2	1	1	36.8004464399327	1	1	1	1	1
Bcl11a	31.3512096343895	1	58.4501953109084	1	1	85.8578790395653	465.519328382016	154.4216548565
Bcl11b	1	89.8975472265281	1	1	1	1	1	1
Bcl2	1	684.051813929866	46.0920218115372	1	1	55.4417264319256	63.886877575213	1
Bcl2l1	1	1	1	1	467.721108305085	59.675535448296	1	64.7434196896375
Bcl2l13	1	1	22.860918951773	1	1	1	1	1
Bcl3	34.0212227745092	1	1	1	1	1	1	1
Bcl7a	1	1	1	1	1	243.461454515486	1	347.479679660685
Bcor	1	1	1	1	1	43.9591291398277	1	1
Beta.s	5629.14612947187	1932.84356377543	55835.5424516755	2421.98111052697	741182.438745542	1687.57824464559	2165.61330962159	2160.90937961426
Bex6	1	1	42.0766123920781	1	1	1	77.1448835460849	1
Bfsp2	1	1	1	1	1	131.125498725577	1	560.807502924874
Bid	33.3619892260223	1	40.7962379912663	1	1	1	1	149.951168271383
Birc2	1	1	1	1	1	1	1	43.5878845034427
Birc3	32.7534638218426	1	1	1	1	1	1	37.1946924565084
Birc5	1	1	457.773561770981	1	31.9800285158749	574.483168320206	1	1
Blcap	1	1	1	1	1	1	39.9173740940599	1
Blk	1	1	1	1	1	134.859167014179	1	1
Blnk	1	1	1	1	1	324.037474545317	171.175507107567	761.906410182934
Blvra	72.2677992089301	1	41.440853148751	1	1	1	41.1018866105575	1
Blvrb	86.1472995478031	1	428.528202959325	1	1303.09323543035	195.016860516461	108.661919587833	61.3033625894718
Bmp2k	1	1	1	1	1	1	76.828739738055	1
Bmx	1	1	1	86.2816990565562	1	1	1	1
Bmyc	100.285141484061	47.5250903197242	50.5355428625329	1	1	1	359.073350261385	84.4373983765371
Bnip3	1	1	1	1	1	1	1	42.3461942789755
Bnip3l	221.077014387838	104.608589061697	261.1908626892	267.681112540653	1541.54695414083	118.412624808828	178.127614995543	235.007723183177
Bola3	1	64.8153869868025	127.061074600075	1	187.819497349292	95.7198717810467	70.7392992716465	1
Bpgm	1	1	181.366535082605	1	3554.54417915178	1	1	1
Bphl	1	1	23.3470755007263	1	1	1	1	69.5441694084108
Brap	1	1	26.1034801177137	1	1	1	1	1
Brca2	1	1	40.6961751890812	1	1	32.0323499653884	1	1
Brd8	1	1	51.7793895024021	1	1	112.96803426342	1	105.928067729966
Brd9	1	30.5799372077958	28.5737909494885	1	1	33.431472445422	1	45.4867191380373
Bre	47.8798048436164	1	32.0319905870192	1	1	23.1141656517588	1	1
Brf1	1	1	1	1	1	30.6016281255187	1	1
Bri3bp	101.182494208356	1	57.3816868029151	1	1	28.5176043956033	149.796417868462	1
Brip1	1	1	21.2402293398791	1	1	46.7232007503891	1	1
Brix1	1	1	36.7243603782137	1	1	88.102296623998	1	75.2850613580063
Brox	1	1	1	1	1	33.6070752904599	1	53.0329344029156
Brwd1	1	1	1	1	1	1	36.5856984474707	1
Bsdc1	1	1	45.8202283281927	1	264.562895272781	1	1	1
Bst1	1	1	1	57.6620256384345	1	38.7674387434565	1	203.330972489022
Bst2	310.226469116206	116.941560933612	215.787085804075	1	1	53.4501731554165	5915.61372869825	127.674579770227
Btaf1	1	1	26.879006288738	1	1	1	43.2115289933626	1
Btbd2	1	1	21.7416376751799	1	1	1	1	1
Btbd9	1	1	1	1	1	1	1	64.6320560350686
Btla	38.2069629303633	1	1	1	1	1	1	1
Btrc	1	1	1	1	1	77.4307309265436	1	50.3224614916266
Bub1	1	1	47.5610311729256	1	1	102.077238405976	1	1
Bub1b	1	1	46.591695406998	1	1	111.55627325229	1	1
Bzw2	1	50.7810473742659	48.1395483760437	1	1	67.1075563932272	58.8683059490604	1
C030034I22Rik	1	1	1	1	1	1	1	44.0763056663624
C030046I01Rik	126.885806051382	91.1493071736404	150.980927086157	467.747596233433	1	91.9496192180838	501.812126230053	117.168899436092
C030048B08Rik	1	1	1	1	1	1	1	43.8075404779491
C1galt1	1	1	1	1	1	1	1	105.833504287195
C1galt1c1	111.963528652411	1	58.0318111525846	1	1	1	1	1
C230052I12Rik	1	1	1	1	1	35.8104910357745	1	1
C230081A13Rik	1	42.5889473046754	1	1	1	1	1	1
C2cd3	1	1	1	1	1	29.5107666244353	1	1
C3	244.945480903191	1	159.014853492296	247.480343202189	1	1	1	1
C330006A16Rik	1	1	1	1	1	1	45.4869764781242	1
C330027C09Rik	1	1	38.7541302954541	1	1	85.1882220501371	1	1
C5ar1	1	1	1	232.519178901134	1	1	1	1
Calcoco1	1	1	1	1	1	1	77.6216997276464	1
Calhm2	34.0249643353733	1	1	1	1	1	53.8809855887594	1
Camk1	40.6000580269364	1	1	1	1	1	1	1
Camk1d	74.471061994916	1	1	1	1	1	51.6613318212505	1
Camk2b	1	1	1	1	1	1	1	52.5930068213576
Camk2d	1	1	1	1	1	171.606760403847	1	247.950565694702
Camkk2	178.553832818269	1	51.0976785819411	1	1	1	1	1
Camp	671.515811877948	377.749552019447	17375.8401176814	47275.6286372586	1123.75736207024	417.518391618055	1159.41621253815	380.918160828436
Cant1	1	1	21.3737558214671	1	1	1	1	54.8296912556393
Capg	503.318912703264	1	142.758699966421	366.911216610931	1	114.919145229172	197.854579303535	79.1558943799212
Capn2	110.875632169718	34.4655269444437	1	1	1	1	1	1
Capn7	1	1	1	1	1	34.2488854999925	1	1
Capsl	1	1	1	1	1	59.2672716412926	1	170.616941516975
Car2	1	1	1602.41806497469	1	4062.0343179979	109.63723183086	1	103.251789748112
Card11	1	1	1	1	1	1	135.714603126942	1
Card6	1	1	1	1	1	1	44.2571773435413	1
Carhsp1	1	1	110.258844934773	83.4251531780361	240.89064403828	105.887040151234	40.0188920408222	35.2741821867278
Casc5	1	1	96.7614733654765	1	1	122.566891138558	1	1
Casp4	42.0426191173995	1	1	1	1	1	1	151.431682032474
Casp6	1	1	1	1	1	1	56.4299705353894	51.6172735081034
Cat	58.7509541922282	1	60.4747206577907	1	426.541436993204	78.0666137942058	75.0544627254668	257.212336884089
Cav2	1	1	1	1	1	1	1	92.6822617157067
Cbl	41.8938991489641	41.3006526952276	25.5992330412891	1	1	1	50.1040764813907	1
Cblb	1	38.7987527591912	1	1	1	1	1	1
Cbll1	1	1	1	1	1	48.3610876543396	1	58.3606192986559
Cbr1	1	53.8377662695228	1	1	1	1	30.7935779894083	37.4340444683857
Cbwd1	1	1	1	1	1	31.3594373823644	1	1
Cbx5	1	1	96.3691346766538	1	1	176.631634901292	53.8650721921259	36.2965218538798
Cbx6	1	1	1	1	1	36.681463437689	1	1
Cbx7	1	35.5818756453359	1	1	1	1	1	1
Ccdc109a	1	1	22.9848149637013	37.8416781358202	1	1	1	1
Ccdc109b	189.590598789019	1	1	1	1	1	1	1
Ccdc123	1	1	1	1	1	35.3382922155088	1	1
Ccdc125	33.1746860431631	1	32.5605948662967	68.3090120179949	1	1	1	1
Ccdc127	1	1	23.2456030658716	1	1	1	1	1
Ccdc135	1	1	1	1	1	1	1	41.5442618046773
Ccdc162	1	1	1	1	1	1	80.2567902693589	1
Ccdc18	1	1	1	1	1	51.7181413762	1	1
Ccdc22	1	1	29.7383834171732	1	1	1	1	1
Ccdc32	1	1	1	1	1	27.0180353199326	1	47.3687011462935
Ccdc34	1	1	116.048454062928	1	1	135.953605382269	1	1
Ccdc69	1	1	1	1	1	41.7585821489577	1	1
Ccdc71	1	1	1	1	1	1	1	39.6357810368318
Ccdc82	1	36.4236566881559	35.0753101646389	1	1	44.5399763352214	1	51.1434715911427
Ccdc88b	1	1	1	59.2151019396082	1	1	1	1
Ccdc90a	52.5634786188848	1	25.5614473739998	1	1	1	1	1
Ccdc90b	1	1	1	1	1	1	1	74.0928004807922
Ccdc97	1	1	1	1	1	1	40.1385355115069	1
Ccdc99	1	1	1	1	1	43.3747836184888	1	1
Ccl2	134.166717957194	1	1	1	1	1	1	1
Ccl3	243.873149857347	121.067440496451	246.50087659193	1	1	1	1	1
Ccl4	1	1	1	1	1	1	157.539443673915	1
Ccl5	1	8992.06258443941	1	1	395.783518817938	1	1	1
Ccl6	1646.77007491483	1	203.486959109798	463.39045718379	80.7877475540958	50.1268575145926	77.0860593334305	1
Ccl9	1532.29657779184	1	212.649364845165	1	1	1	1	1
Ccna2	1	1	191.510981896917	1	1	411.250668053491	1	1
Ccnb1	1	1	93.9027450907911	1	1	237.803767411967	1	1
Ccnb2	1	1	225.60116970479	1	1	381.156567809414	1	1
Ccnc	31.9563268230894	1	1	1	1	1	1	1
Ccnd1	1	1	1	1	1	1	457.333388058058	1
Ccnd2	1	332.523481535681	35.6989115999785	1	1	53.3076441806556	1	150.093072544521
Ccndbp1	48.8847660331347	44.0822282678277	45.742207255344	56.2031562286365	247.92243337098	37.0219743744103	1	48.715949273026
Ccne1	1	1	46.5655321378306	1	1	28.8457551092382	1	1
Ccne2	1	1	53.6857688094432	1	1	63.1227095375814	1	1
Ccnf	1	1	41.9409873640519	1	1	56.7323451106883	1	1
Ccng1	1	82.9345239038899	32.7749102502115	1	1	35.5222362285277	44.297868551471	41.0380658076878
Ccnk	1	1	1	1	1	38.7352996164141	1	1
Ccno	1	1	1	47.8696760637743	1	1	1	1
Ccpg1	98.5901456582722	39.9350714452957	32.5172901472327	146.698151712836	1	1	91.680572680344	1
Ccr1	47.5714634575563	1	1	146.805345424841	1	1	1	1
Ccr2	942.08394970481	92.8882701357153	124.279659689325	1	1	1	111.046208710189	1
Ccr5	1	1	1	1	1	1	123.460912167541	1
Ccr7	1	52.6752838982591	1	1	1	54.4122207347861	1	1
Ccr9	1	1	1	1	1	1	500.508127044889	1
Ccrl2	53.9361963597264	1	1	1	1	1	1	1
Ccs	49.5209795821103	33.581999955532	24.234441530785	1	1	1	65.7734399872674	1
Cd14	53.0911031180796	1	1	1	1	1	1	1
Cd160	1	92.6157074260093	1	1	1	1	1	1
Cd177	123.298692671156	1	181.598711386618	772.511668033028	1	1	1	1
